column_names,importances,abs_importances,cumsum
OWN_CAR_AGE_miss,0.0,0.0,1.0
ENTRANCES_MEDI_miss,0.0,0.0,1.0
FLOORSMIN_MODE_miss,0.0,0.0,1.0
ELEVATORS_MEDI_miss,0.0,0.0,1.0
ELEVATORS_MODE_miss,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_YEAR_nan,0.0,0.0,1.0
FLOORSMIN_MODE,0.0,0.0,1.0
LIVINGAPARTMENTS_MEDI_miss,0.0,0.0,1.0
TOTALAREA_MODE_miss,0.0,0.0,1.0
BASEMENTAREA_MEDI_miss,0.0,0.0,1.0
FLOORSMIN_AVG_miss,0.0,0.0,1.0
COMMONAREA_MODE_miss,0.0,0.0,1.0
LIVINGAPARTMENTS_MODE_miss,0.0,0.0,1.0
LIVINGAREA_MODE_miss,0.0,0.0,1.0
NONLIVINGAPARTMENTS_MODE_miss,0.0,0.0,1.0
NONLIVINGAREA_MODE_miss,0.0,0.0,1.0
FLOORSMAX_AVG_miss,0.0,0.0,1.0
YEARS_BUILD_MODE_miss,0.0,0.0,1.0
ENTRANCES_AVG_miss,0.0,0.0,1.0
YEARS_BEGINEXPLUATATION_MODE_miss,0.0,0.0,1.0
APARTMENTS_MEDI_miss,0.0,0.0,1.0
ELEVATORS_AVG_miss,0.0,0.0,1.0
ELEVATORS_AVG,0.0,0.0,1.0
COMMONAREA_AVG_miss,0.0,0.0,1.0
LIVINGAPARTMENTS_AVG_miss,0.0,0.0,1.0
NONLIVINGAREA_MEDI_miss,0.0,0.0,1.0
YEARS_BEGINEXPLUATATION_MEDI_miss,0.0,0.0,1.0
NONLIVINGAREA_AVG_miss,0.0,0.0,1.0
YEARS_BUILD_AVG_miss,0.0,0.0,1.0
YEARS_BUILD_MEDI_miss,0.0,0.0,1.0
YEARS_BEGINEXPLUATATION_AVG_miss,0.0,0.0,1.0
LIVINGAREA_AVG_miss,0.0,0.0,1.0
COMMONAREA_MEDI_miss,0.0,0.0,1.0
BASEMENTAREA_AVG_miss,0.0,0.0,1.0
LANDAREA_MEDI_miss,0.0,0.0,1.0
APARTMENTS_AVG_miss,0.0,0.0,1.0
LANDAREA_AVG_miss,0.0,0.0,1.0
LIVINGAREA_MEDI_miss,0.0,0.0,1.0
BASEMENTAREA_MODE_miss,0.0,0.0,1.0
NONLIVINGAPARTMENTS_MEDI_miss,0.0,0.0,1.0
LANDAREA_MODE_miss,0.0,0.0,1.0
OBS_30_CNT_SOCIAL_CIRCLE_6.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_QRT_infrequent_sklearn,0.0,0.0,1.0
HOUSETYPE_MODE_block of flats,0.0,0.0,1.0
ORGANIZATION_TYPE_Legal Services,0.0,0.0,1.0
ORGANIZATION_TYPE_Mobile,0.0,0.0,1.0
ORGANIZATION_TYPE_Other,0.0,0.0,1.0
ORGANIZATION_TYPE_Telecom,0.0,0.0,1.0
ORGANIZATION_TYPE_Trade: type 1,0.0,0.0,1.0
ORGANIZATION_TYPE_Trade: type 2,0.0,0.0,1.0
ORGANIZATION_TYPE_Trade: type 3,0.0,0.0,1.0
ORGANIZATION_TYPE_Transport: type 1,0.0,0.0,1.0
ORGANIZATION_TYPE_Transport: type 2,0.0,0.0,1.0
ORGANIZATION_TYPE_University,0.0,0.0,1.0
ORGANIZATION_TYPE_infrequent_sklearn,0.0,0.0,1.0
HOUSETYPE_MODE_terraced house,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_QRT_nan,0.0,0.0,1.0
WALLSMATERIAL_MODE_Block,0.0,0.0,1.0
WALLSMATERIAL_MODE_Mixed,0.0,0.0,1.0
WALLSMATERIAL_MODE_Monolithic,0.0,0.0,1.0
WALLSMATERIAL_MODE_Wooden,0.0,0.0,1.0
WALLSMATERIAL_MODE_nan,0.0,0.0,1.0
EMERGENCYSTATE_MODE_nan,0.0,0.0,1.0
CNT_CHILDREN_3,0.0,0.0,1.0
CNT_CHILDREN_4,0.0,0.0,1.0
CNT_CHILDREN_infrequent_sklearn,0.0,0.0,1.0
FLAG_MOBIL_infrequent_sklearn,0.0,0.0,1.0
FLAG_CONT_MOBILE_1,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 7,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 5,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 4,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 3,0.0,0.0,1.0
CODE_GENDER_infrequent_sklearn,0.0,0.0,1.0
NAME_TYPE_SUITE_Group of people,0.0,0.0,1.0
NAME_TYPE_SUITE_Other_A,0.0,0.0,1.0
"NAME_TYPE_SUITE_Spouse, partner",0.0,0.0,1.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0,0.0,1.0
NAME_FAMILY_STATUS_infrequent_sklearn,0.0,0.0,1.0
NAME_HOUSING_TYPE_Co-op apartment,0.0,0.0,1.0
OCCUPATION_TYPE_Cleaning staff,0.0,0.0,1.0
OCCUPATION_TYPE_HR staff,0.0,0.0,1.0
OCCUPATION_TYPE_IT staff,0.0,0.0,1.0
OCCUPATION_TYPE_Realty agents,0.0,0.0,1.0
OCCUPATION_TYPE_Secretaries,0.0,0.0,1.0
OCCUPATION_TYPE_Waiters/barmen staff,0.0,0.0,1.0
ORGANIZATION_TYPE_Advertising,0.0,0.0,1.0
ORGANIZATION_TYPE_Agriculture,0.0,0.0,1.0
ORGANIZATION_TYPE_Cleaning,0.0,0.0,1.0
ORGANIZATION_TYPE_Culture,0.0,0.0,1.0
ORGANIZATION_TYPE_Electricity,0.0,0.0,1.0
ORGANIZATION_TYPE_Emergency,0.0,0.0,1.0
ORGANIZATION_TYPE_Hotel,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 11,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 12,0.0,0.0,1.0
ORGANIZATION_TYPE_Industry: type 2,0.0,0.0,1.0
CNT_FAM_MEMBERS_5.0,0.0,0.0,1.0
CNT_FAM_MEMBERS_6.0,0.0,0.0,1.0
CNT_FAM_MEMBERS_infrequent_sklearn,0.0,0.0,1.0
FLAG_DOCUMENT_2_infrequent_sklearn,0.0,0.0,1.0
FLAG_DOCUMENT_7_infrequent_sklearn,0.0,0.0,1.0
FLAG_DOCUMENT_9_1,0.0,0.0,1.0
FLAG_DOCUMENT_10_infrequent_sklearn,0.0,0.0,1.0
FLAG_DOCUMENT_12_infrequent_sklearn,0.0,0.0,1.0
FLAG_DOCUMENT_17_infrequent_sklearn,0.0,0.0,1.0
FLAG_DOCUMENT_19_1,0.0,0.0,1.0
FLAG_DOCUMENT_20_1,0.0,0.0,1.0
FLAG_DOCUMENT_21_infrequent_sklearn,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR_1.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR_infrequent_sklearn,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_DAY_nan,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_WEEK_2.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_WEEK_nan,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_WEEK_infrequent_sklearn,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_4.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_5.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_6.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_7.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_8.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_9.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_MON_nan,0.0,0.0,1.0
